start_week,partner,campaign_type,novos_clientes,quant_pedidos,receita_bruta_total,receita_liquida,custo_produto,margem_bruta,custo,clicks,impressions
2022-12-05,google_pago,shopping_AC_BRI,153,900,199197.01,140314.41,92906.18,28722.17,90567.46,74780,6173014
2022-12-12,google_pago,shopping_AC_BRI,125,885,176992.99,124695.4,82197.96,25884.65,87391.54,70034,6277648
2022-12-19,google_pago,shopping_AC_BRI,134,857,168510.34,118297.11,77592.76,23720.69,79456.34,90570,8459026
2022-12-26,google_pago,shopping_AC_BRI,140,1027,223161.55,157957.23,103404.76,33418.47,69911.78,105604,10023852
2023-01-02,google_pago,shopping_AC_BRI,225,1507,335332.19,239854.16,157657.28,48942.11,94626.06,150818,14487578
2023-01-09,google_pago,shopping_AC_BRI,203,1437,320847.28,228970.66,150363.97,42744.61,104258.3,178118,17329462
2023-01-16,google_pago,shopping_AC_BRI,195,1299,282259.29,202326.48,133363.17,39670.3,88674.46,153302,14558230
2023-01-23,google_pago,shopping_AC_BRI,167,1329,298261.45,211693.92,141652.1,39349.74,64101.56,135006,11427470
2023-01-30,google_pago,shopping_AC_BRI,179,1533,349161.55,249234.05,162972.18,49649.74,74581.2,152352,15208782
2023-02-06,google_pago,shopping_AC_BRI,214,1599,367121.06,262146.66,173688.46,52481.64,81594.34,122636,12652880
2023-02-13,google_pago,shopping_AC_BRI,202,1442,338883.28,242255.51,160302.94,48949.37,56721.34,89270,8877330
2023-02-20,google_pago,shopping_AC_BRI,115,1206,286884.44,204320.32,137247.38,36787.79,36695.46,73072,6606120
2023-02-27,google_pago,shopping_AC_BRI,157,1514,369037.4,262008.75,174812.28,46749.08,46081.28,82754,7613767
2023-03-06,google_pago,shopping_AC_BRI,181,1423,317887.45,225642.03,149447.32,40057.77,81032.73,129653,12248173
2023-03-13,google_pago,shopping_AC_BRI,164,1269,304810.49,216504.73,143797.1,40834.32,92865.3,197973,28119323
2023-03-20,google_pago,shopping_AC_BRI,259,1567,350386.54,248988.67,166490.56,43477.46,91904.93,208263,14717478
2023-03-27,google_pago,shopping_AC_BRI,170,1411,351469.06,249111.07,166823.5,44749,31037.3,49551,4499419
2023-04-03,google_pago,shopping_AC_BRI,194,1185,273087.72,193685.03,127544.98,37362.39,34223.29,38499,3496604
2023-04-10,google_pago,shopping_AC_BRI,263,1563,354690.63,251432.94,164567.63,50614.66,44838.3,46853,4085725
2023-04-17,google_pago,shopping_AC_BRI,181,1223,285815.57,203492.64,134076.24,40842.77,30601.16,35934,2782105
2023-04-24,google_pago,shopping_AC_BRI,37,235,46391.1,32801.22,21357.98,6605.36,78.19,128,10177
2022-11-07,google_pago,shopping_HAB,147,268,46524.85,32683.64,26046.27,2239.13,61047.34,48604,4778120
2022-11-14,google_pago,shopping_HAB,92,187,39037.51,27726.46,21204.99,2972.94,51787.28,46402,4652442
