uf_nova,localidade,Faixa,Vendas,Margem Ajustada,Margem Recomposta,Receita Liquida Operacional,Ticket Médio,Ticket Mediano,Threshold_min,Threshold_max,Threshold_medio,Threshold_mediano,Margem Faixa,Margem Geral,Margem Tier,Ticket Tier
Alagoas,Capital,"[200,210)",9797,3308.7699999999995,80787.78806201983,1791447.85,257.24577217515565,204.93,0,599,235.93445512820512,119,-0.0653174554983483,0.0018469809210466268,Tier 4,Tier 4
Alagoas,Interior,"[290,300)",2846,-8358.6,21974.391533314323,686007.6,333.0374771609276,296.91,39,599,331.05032119914347,299,-0.05254481541838948,-0.012184413117289081,Tier 4,Tier 1
Alagoas,Não Encontrada,+300,12,-35.07000000000001,78.98370943818472,3036.47,336.85833333333335,343.655,299,599,389,349,-0.01444293736386571,-0.011549595418364091,Tier 4,Tier 1
Bahia,Capital,"[160,170)",21062,92505.36,204319.16704855702,3186182,216.60082423321623,164.84500000000003,0,599,162.96337779087762,39,-0.04444827227075615,0.029033294394356632,Tier 4,Tier 4
Bahia,Interior,+300,16188,-77562.22,68085.50983999597,4391853.93,373.48089201877934,322.21500000000003,0,599,358.41614583333336,349,-0.010166417398292759,-0.01766047351215071,Tier 4,Tier 1
Bahia,Metropolitana,"[250,260)",4750,-3826.79,32977.82346073972,1042119.08,307.6492905263158,254.365,39,599,305.4927536231884,209,-0.015549936129117177,-0.0036721235350570492,Tier 4,Tier 4
Bahia,Não Encontrada,"[230,240)",6,87.31,76.53560327013655,1073.87,239.62333333333333,235.39,299,349,336.5,349,0.118320207199112,0.0813040684626631,Tier 1,Tier 2
Ceará,Capital,"[240,250)",5468,-18710.329999999998,25228.113090717605,1177572.35,297.9016733723482,240.29,0,599,374.52881355932203,349,-0.05905450400717343,-0.015888900584325027,Tier 4,Tier 2
Ceará,Interior,+300,3107,-42414.63,-10809.388032002542,872836.21,368.42348245896363,300.65,0,599,326.3887349953832,299,-0.030003290868334417,-0.04859403117567728,Tier 4,Tier 3
Ceará,Metropolitana,"[250,260)",553,-3484.12,943.8018913161919,122257.6,299.1584629294756,257.73,39,599,373.63492063492066,349,-0.009533637362271568,-0.028498187433746446,Tier 4,Tier 2
Ceará,Não Encontrada,"[200,210)",3,22.52,30.773897198356106,423.32,172.61333333333334,205.34,Inf,-Inf,NA,NA,0.15896446008856593,0.053198525937824814,Tier 1,NA
Distrito Federal,Capital,"[140,150)",33323,253612.57,413747.0956762541,4701795.62,195.38843771569188,147.92,0,399,136.68112061959172,0,-0.014966030072599314,0.053939513857473885,Tier 4,Tier 4
Distrito Federal,Interior,"[20,30)",1,-31.39,-31.39,13.74,20,20,Inf,-Inf,NA,NA,-2.284570596797671,-2.284570596797671,Tier 4,NA
Espírito Santo,Capital,"[190,200)",3751,47283.49,69904.31873500129,696101.34,250.07897360703814,199.01,0,399,210.68721174004193,139,-0.00422255822663652,0.06792615856765913,Tier 4,Tier 4
Espírito Santo,Interior,"[210,220)",17589,-96893.44,10413.868257800388,3476601.97,266.4081647620672,217.6,0,399,232.62746425247482,149,-0.07494202142966101,-0.02787015621463276,Tier 4,Tier 4
Goiás,Capital,"[140,150)",13879,132020.55,202577.40095622477,1924227.04,186.67996109229773,147.11,0,399,138.81043094436055,0,0.011695239675441794,0.06860965325588606,Tier 3,Tier 4
Goiás,Interior,"[200,210)",10981,128003.84,206244.38891228204,2135843.73,252.54056461160187,201.5,0,499,202.3994849509094,199,0.004398756818844105,0.05993127596465121,Tier 3,Tier 3
Maranhão,Capital,+300,2068,-8552.92,8596.36911566231,536237.82,371.5878675048356,305.155,39,599,316.24943481537304,219,0.00706466240761865,-0.015949863439322504,Tier 3,Tier 4
