uf_nova,localidade,Faixa,Vendas,Margem Ajustada,Margem Recomposta,Receita Liquida Operacional,Ticket Médio,Ticket Mediano,Threshold_min,Threshold_max,Threshold_medio,Threshold_mediano,Margem Faixa,Margem Geral,Margem Tier,Ticket Tier,Margem Geral Tier
Alagoas,Capital,"[200,210)",9880,6604.8,85771.99777265152,1805442.26,256.8711761133603,205.72,0,599,236.40421820488424,119,-0.05102005022991104,0.0036582726273395195,Tier 4,Tier 4,Tier 3
Alagoas,Interior,"[290,300)",2884,-5872.91,23611.873647349716,695278.26,333.32700416088767,297.87,39,599,333.1622481442206,299,0.009373723318032028,-0.008446848316528694,Tier 3,Tier 1,Tier 4
Alagoas,Não Encontrada,"[270,280)",15,-33.31000000000001,57.59154549161293,3290.7,290.83466666666664,273.8,299,599,365.6666666666667,349,0.25101522842639595,-0.010122466344546756,Tier 1,Tier 2,Tier 4
Bahia,Capital,"[160,170)",21091,93277.3,205422.81045603487,3193826.73,216.897672466929,164.9,0,599,162.6236045828437,39,-0.04560585176547234,0.029205497945093598,Tier 4,Tier 4,Tier 3
Bahia,Interior,+300,16300,-79633.01,63642.7365161317,4450333.76,376.3910067484663,320.9,0,599,359.1801089078393,349,-0.009469755374849776,-0.01789371635802884,Tier 4,Tier 1,Tier 4
Bahia,Metropolitana,"[250,260)",4604,-502.9499999999999,34661.58483958379,1022920.43,311.88699174630756,257.78,0,599,306.3946755407654,209,-0.019028015114380115,-4.916804721555906e-4,Tier 4,Tier 4,Tier 4
Bahia,Não Encontrada,+300,11,523.97,636.0136489103975,4697.05,586.190909090909,418,199,349,321.22222222222223,349,0.1166413598161849,0.11155299602942273,Tier 1,Tier 4,Tier 1
Ceará,Capital,"[230,240)",5365,-20323.43,23582.832064301794,1147336.29,296.11074557315936,239.57,0,599,366.6972207375735,349,-0.0885912041922272,-0.017713577245952884,Tier 4,Tier 2,Tier 4
Ceará,Interior,+300,3100,-29772.95,2886.623391511535,878390.57,371.2935935483871,301.515,0,599,325.3442469597755,299,-0.013624005627398005,-0.03389488801092207,Tier 4,Tier 3,Tier 4
Ceará,Metropolitana,"[240,250)",563,-5293.82,-952.1156632709461,124471.38,301.10383658969806,248.39,39,599,373.0066225165563,349,-0.04638943775821807,-0.042530419442606,Tier 4,Tier 2,Tier 4
Ceará,Não Encontrada,"[200,210)",7,-35.96,-19.976907105431188,1102.26,193.70285714285714,205.34,399,399,399,399,0.15896446008856593,-0.032623881842759425,Tier 1,Tier 2,Tier 4
Distrito Federal,Capital,"[140,150)",33275,265525.91,417283.5337604674,4721801.8,196.54648985725018,149.33,0,399,134.72035591929958,0,-0.010634435804146991,0.05623402278342136,Tier 4,Tier 4,Tier 2
